,TotalSleepBlock,~F1,Accuracy,AccuracyBlock,Precision,TotalSleep,Recall,SEGTBlock,SESelfBlock,SEInterval,F1,SEMarkers,SEOnlyREST,F1Block,PercentSleep,RecallBlock,SEWholeDF,Specificity,~F1Block,PrecisionBlock,SESelfBlock5Min,PercentSleepBlock,SpecificityBlock,DeltaEndBlock,DeltaStartBlock
tl_resc_LSTM_100_raw,65100.3  +- 40616.7 ,88.5  +- 7.4 ,85.2  +- 8.0 ,82.5  +- 15.4 ,70.9  +- 15.5 ,91635.3  +- 24209.5 ,88.4  +- 12.2 ,83.1  +- 15.6 ,96.1  +- 7.5 ,72.2  +- 20.1 ,77.5  +- 12.6 ,62.3  +- 27.0 ,84.2  +- 10.7 ,63.5  +- 38.7 ,37.9  +- 9.9 ,62.1  +- 40.8 ,37.9  +- 9.9 ,83.8  +- 10.8 ,87.8  +- 10.0 ,74.1  +- 37.5 ,97.0  +- 5.5 ,27.3  +- 17.0 ,94.9  +- 6.5 ,11416 +- 13505,4329 +- 5027
LSTM_100_raw_max,293.9  +- 5600.3 ,82.3  +- 5.3 ,70.3  +- 7.3 ,61.9  +- 8.4 ,0.2  +- 3.6 ,293.9  +- 5600.3 ,0.2  +- 4.1 ,0.2  +- 4.0 ,0.3  +- 5.3 ,0.2  +- 4.2 ,0.2  +- 3.9 ,0.2  +- 3.2 ,0.2  +- 4.7 ,0.2  +- 4.5 ,0.1  +- 2.1 ,0.2  +- 4.0 ,0.1  +- 2.1 ,99.9  +- 1.0 ,76.1  +- 6.7 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.1  +- 2.1 ,100.0  +- 0.0 ,33722 +- 6804,12714 +- 6203
tl_LSTM_100_raw_max,406.6  +- 7747.0 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.0 ,406.6  +- 7747.0 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 4.9 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.3  +- 4.9 ,0.2  +- 4.7 ,0.1  +- 2.7 ,0.3  +- 5.2 ,0.1  +- 2.7 ,99.9  +- 1.1 ,76.1  +- 6.7 ,0.2  +- 4.2 ,0.3  +- 5.2 ,0.1  +- 2.7 ,100.0  +- 0.9 ,33718 +- 6821,12687 +- 6193
resc_tl_LSTM_100_raw_max,395.6  +- 7537.0 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.1 ,395.6  +- 7537.0 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 4.8 ,0.2  +- 4.6 ,0.3  +- 5.0 ,0.3  +- 4.8 ,0.2  +- 4.7 ,0.1  +- 2.7 ,0.3  +- 5.2 ,0.1  +- 2.7 ,99.9  +- 1.0 ,76.1  +- 6.7 ,0.2  +- 4.3 ,0.3  +- 5.2 ,0.1  +- 2.7 ,100.0  +- 0.8 ,33719 +- 6820,12685 +- 6194
CNN_20_raw,78907.2  +- 42611.1 ,88.7  +- 6.9 ,85.3  +- 7.8 ,85.0  +- 15.4 ,71.8  +- 15.8 ,87098.3  +- 23136.3 ,85.4  +- 13.2 ,76.8  +- 15.6 ,79.3  +- 15.7 ,67.5  +- 18.4 ,76.7  +- 12.9 ,57.9  +- 24.7 ,80.3  +- 10.6 ,70.1  +- 37.5 ,36.0  +- 9.5 ,72.3  +- 40.0 ,36.1  +- 9.5 ,85.2  +- 10.1 ,88.9  +- 10.8 ,73.7  +- 36.0 ,97.2  +- 3.8 ,33.0  +- 18.0 ,92.3  +- 10.4 ,9459 +- 13538,4643 +- 5655
tl_CNN_20_raw,59360.1  +- 48212.2 ,87.7  +- 7.6 ,84.4  +- 8.3 ,78.5  +- 17.2 ,69.0  +- 15.7 ,95640.8  +- 24918.4 ,89.9  +- 12.8 ,83.7  +- 15.7 ,93.2  +- 11.4 ,73.9  +- 19.5 ,76.8  +- 12.9 ,63.6  +- 26.6 ,87.0  +- 10.1 ,52.6  +- 43.1 ,39.6  +- 10.2 ,53.4  +- 45.6 ,39.6  +- 10.2 ,82.0  +- 11.1 ,85.1  +- 11.7 ,59.8  +- 43.4 ,95.2  +- 9.4 ,25.0  +- 20.3 ,93.4  +- 9.8 ,16003 +- 15871,5463 +- 5950
resc_CNN_20_raw,50609.9  +- 37195.8 ,89.7  +- 5.9 ,85.4  +- 7.5 ,79.8  +- 15.3 ,79.9  +- 16.7 ,62819.6  +- 22919.5 ,68.4  +- 19.3 ,60.1  +- 20.3 ,83.6  +- 16.0 ,51.1  +- 19.8 ,71.7  +- 16.6 ,44.0  +- 23.4 ,61.0  +- 15.9 ,56.8  +- 37.4 ,26.0  +- 9.5 ,51.3  +- 38.8 ,26.0  +- 9.6 ,92.3  +- 7.8 ,86.3  +- 10.0 ,84.1  +- 32.3 ,99.1  +- 5.4 ,21.1  +- 15.6 ,97.7  +- 4.6 ,12188 +- 12280,4328 +- 5609
resc_tl_CNN_20_raw,55405.5  +- 38686.1 ,90.0  +- 6.2 ,86.5  +- 7.5 ,81.0  +- 15.6 ,76.6  +- 16.1 ,76237.5  +- 24287.3 ,79.6  +- 18.0 ,71.7  +- 19.8 ,90.8  +- 12.8 ,61.5  +- 20.9 ,76.4  +- 14.8 ,53.1  +- 26.2 ,73.2  +- 14.9 ,59.3  +- 38.5 ,31.6  +- 10.1 ,55.4  +- 40.2 ,31.6  +- 10.1 ,89.1  +- 9.0 ,87.0  +- 10.1 ,80.4  +- 34.9 ,99.2  +- 1.7 ,23.3  +- 16.5 ,96.8  +- 5.4 ,11965 +- 13047,4305 +- 5358
tl_resc_CNN_20_raw,60914.9  +- 49354.0 ,85.9  +- 8.3 ,82.6  +- 8.7 ,77.7  +- 17.1 ,65.7  +- 15.4 ,101338.0  +- 25745.5 ,90.6  +- 12.1 ,86.2  +- 14.9 ,94.9  +- 10.1 ,76.4  +- 19.1 ,75.0  +- 12.9 ,66.2  +- 26.6 ,88.3  +- 9.4 ,51.8  +- 42.9 ,41.9  +- 10.5 ,53.3  +- 45.8 ,42.0  +- 10.5 ,79.0  +- 11.8 ,84.4  +- 11.6 ,57.4  +- 43.1 ,87.1  +- 20.7 ,25.6  +- 20.8 ,92.3  +- 10.3 ,16556 +- 16043,5872 +- 6162
CNN_20_raw_max,274.7  +- 5232.9 ,82.3  +- 5.4 ,70.3  +- 7.5 ,61.9  +- 8.5 ,0.3  +- 4.8 ,274.7  +- 5232.9 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.2  +- 4.1 ,0.3  +- 5.0 ,0.3  +- 5.1 ,0.2  +- 4.1 ,0.3  +- 5.2 ,0.1  +- 2.0 ,0.3  +- 5.2 ,0.1  +- 2.0 ,100.0  +- 0.3 ,76.1  +- 6.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.1  +- 2.0 ,100.0  +- 0.0 ,33693 +- 6823,12691 +- 6233
tl_CNN_20_raw_max,344.9  +- 6571.3 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.3 ,0.2  +- 3.3 ,344.9  +- 6571.3 ,0.3  +- 5.2 ,0.2  +- 4.2 ,0.3  +- 5.3 ,0.2  +- 3.1 ,0.2  +- 4.1 ,0.3  +- 5.2 ,0.3  +- 5.0 ,0.2  +- 3.9 ,0.1  +- 2.5 ,0.2  +- 4.2 ,0.1  +- 2.5 ,99.9  +- 1.3 ,76.1  +- 6.7 ,0.2  +- 3.6 ,0.3  +- 5.2 ,0.1  +- 2.5 ,99.9  +- 1.4 ,33738 +- 6740,12702 +- 6196
resc_tl_CNN_20_raw_max,333.9  +- 6361.4 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.3 ,0.2  +- 3.4 ,333.9  +- 6361.4 ,0.3  +- 5.2 ,0.2  +- 4.1 ,0.3  +- 5.3 ,0.2  +- 3.0 ,0.2  +- 4.1 ,0.3  +- 5.1 ,0.3  +- 4.8 ,0.2  +- 3.8 ,0.1  +- 2.4 ,0.2  +- 4.1 ,0.1  +- 2.4 ,99.9  +- 1.2 ,76.1  +- 6.7 ,0.2  +- 3.6 ,0.3  +- 5.2 ,0.1  +- 2.4 ,99.9  +- 1.3 ,33739 +- 6734,12700 +- 6196
CNN_50_raw,68693.1  +- 42559.6 ,90.1  +- 6.7 ,87.0  +- 7.7 ,83.6  +- 15.8 ,74.8  +- 15.7 ,85113.8  +- 23698.0 ,86.8  +- 14.1 ,78.1  +- 17.1 ,87.0  +- 12.7 ,67.7  +- 19.8 ,79.0  +- 13.1 ,58.1  +- 26.1 ,80.8  +- 11.8 ,65.6  +- 39.1 ,35.2  +- 9.8 ,65.4  +- 41.3 ,35.3  +- 9.8 ,86.9  +- 9.9 ,88.3  +- 10.9 ,74.7  +- 37.3 ,98.6  +- 2.2 ,28.7  +- 17.9 ,94.5  +- 8.8 ,10909 +- 13901,4292 +- 5380
tl_CNN_50_raw,63958.1  +- 44458.4 ,89.1  +- 7.3 ,85.9  +- 8.1 ,81.6  +- 16.2 ,72.0  +- 15.7 ,90674.9  +- 24418.3 ,89.0  +- 13.9 ,81.9  +- 16.9 ,94.0  +- 9.4 ,71.9  +- 20.2 ,78.3  +- 13.1 ,61.6  +- 27.0 ,85.0  +- 11.3 ,60.5  +- 40.7 ,37.6  +- 10.1 ,60.2  +- 43.1 ,37.6  +- 10.1 ,84.5  +- 10.6 ,87.1  +- 11.0 ,70.6  +- 39.5 ,98.4  +- 3.1 ,26.8  +- 18.7 ,94.4  +- 8.3 ,12625 +- 14249,4325 +- 5278
resc_CNN_50_raw,50723.7  +- 36604.6 ,90.4  +- 5.8 ,86.6  +- 7.3 ,79.8  +- 15.3 ,80.2  +- 16.0 ,67760.3  +- 23935.3 ,73.8  +- 19.2 ,65.5  +- 20.7 ,88.6  +- 13.4 ,55.2  +- 20.8 ,74.9  +- 15.8 ,47.8  +- 25.1 ,65.7  +- 16.2 ,57.0  +- 37.3 ,28.1  +- 10.0 ,51.4  +- 38.5 ,28.1  +- 10.0 ,91.7  +- 8.1 ,86.3  +- 10.0 ,83.7  +- 32.8 ,99.5  +- 1.2 ,21.2  +- 15.5 ,97.6  +- 4.8 ,12272 +- 12235,4195 +- 5576
resc_tl_CNN_50_raw,54121.2  +- 38321.3 ,90.3  +- 6.2 ,86.9  +- 7.5 ,80.7  +- 15.5 ,77.5  +- 16.0 ,75847.1  +- 24528.0 ,80.0  +- 18.3 ,72.2  +- 20.4 ,93.2  +- 12.1 ,61.5  +- 21.4 ,76.9  +- 15.1 ,53.2  +- 26.4 ,73.1  +- 15.5 ,58.6  +- 38.3 ,31.4  +- 10.2 ,54.3  +- 39.7 ,31.4  +- 10.2 ,89.5  +- 9.0 ,86.8  +- 10.1 ,80.5  +- 35.2 ,99.4  +- 1.4 ,22.7  +- 16.2 ,97.1  +- 5.3 ,11915 +- 12881,4297 +- 5036
tl_resc_CNN_50_raw,68335.3  +- 44073.3 ,87.5  +- 7.7 ,84.1  +- 8.3 ,82.3  +- 15.7 ,68.7  +- 15.4 ,94568.9  +- 24691.3 ,88.6  +- 13.5 ,83.3  +- 16.0 ,94.5  +- 8.5 ,73.4  +- 19.7 ,76.2  +- 13.0 ,63.2  +- 26.9 ,85.5  +- 10.6 ,63.0  +- 39.5 ,39.2  +- 10.2 ,63.3  +- 42.1 ,39.2  +- 10.2 ,82.1  +- 11.1 ,87.4  +- 10.6 ,71.3  +- 38.1 ,93.7  +- 9.5 ,28.6  +- 18.4 ,93.6  +- 8.4 ,11768 +- 13636,4334 +- 5163
CNN_50_raw_max,290.9  +- 5542.6 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.5 ,0.2  +- 4.5 ,290.9  +- 5542.6 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.1 ,0.3  +- 4.9 ,0.3  +- 5.1 ,0.3  +- 5.1 ,0.3  +- 5.0 ,0.1  +- 2.4 ,0.3  +- 5.2 ,0.1  +- 2.4 ,100.0  +- 0.5 ,76.1  +- 6.8 ,0.3  +- 4.8 ,0.3  +- 5.2 ,0.1  +- 2.4 ,100.0  +- 0.3 ,33727 +- 6788,12683 +- 6236
tl_CNN_50_raw_max,409.9  +- 7810.0 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.0 ,409.9  +- 7810.0 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.3  +- 5.0 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.3  +- 5.0 ,0.2  +- 4.6 ,0.1  +- 2.8 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.1 ,76.1  +- 6.7 ,0.2  +- 4.2 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.0 ,33719 +- 6818,12687 +- 6193
resc_tl_CNN_50_raw_max,398.9  +- 7600.0 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.1 ,398.9  +- 7600.0 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 4.8 ,0.2  +- 4.6 ,0.3  +- 5.1 ,0.3  +- 4.8 ,0.2  +- 4.7 ,0.1  +- 2.7 ,0.3  +- 5.2 ,0.1  +- 2.7 ,99.9  +- 1.0 ,76.1  +- 6.7 ,0.2  +- 4.3 ,0.3  +- 5.2 ,0.1  +- 2.7 ,100.0  +- 0.9 ,33718 +- 6823,12685 +- 6194
CNN_100_raw,70903.3  +- 41019.6 ,90.2  +- 7.0 ,87.3  +- 8.0 ,84.7  +- 15.5 ,74.4  +- 15.9 ,89679.1  +- 24249.5 ,90.6  +- 12.4 ,82.5  +- 16.0 ,90.8  +- 9.9 ,71.4  +- 20.2 ,80.3  +- 12.7 ,61.3  +- 26.9 ,84.8  +- 11.0 ,68.5  +- 37.8 ,37.1  +- 10.0 ,68.2  +- 40.1 ,37.1  +- 10.0 ,85.8  +- 10.6 ,89.1  +- 10.7 ,76.6  +- 36.0 ,98.6  +- 2.6 ,29.7  +- 17.4 ,94.6  +- 8.7 ,9762 +- 13499,4194 +- 5316
tl_CNN_100_raw,69792.0  +- 44324.3 ,88.6  +- 7.6 ,85.6  +- 8.3 ,82.9  +- 15.7 ,70.9  +- 15.5 ,94886.2  +- 25119.2 ,91.4  +- 11.9 ,85.5  +- 15.4 ,95.6  +- 7.3 ,74.7  +- 20.4 ,78.5  +- 12.6 ,64.2  +- 27.5 ,87.5  +- 10.5 ,64.4  +- 39.2 ,39.3  +- 10.3 ,64.9  +- 41.8 ,39.3  +- 10.3 ,83.1  +- 11.3 ,87.8  +- 10.9 ,72.1  +- 37.7 ,97.1  +- 5.7 ,29.3  +- 18.8 ,93.5  +- 9.8 ,11453 +- 14042,4454 +- 5333
resc_CNN_100_raw,54882.1  +- 37678.8 ,90.7  +- 5.8 ,87.3  +- 7.1 ,80.9  +- 15.6 ,78.9  +- 15.8 ,74370.2  +- 23583.9 ,79.8  +- 16.6 ,71.5  +- 19.0 ,92.3  +- 9.6 ,60.3  +- 20.6 ,77.6  +- 14.1 ,52.2  +- 25.6 ,71.7  +- 14.5 ,59.5  +- 38.0 ,30.8  +- 9.9 ,55.2  +- 39.5 ,30.8  +- 9.9 ,90.3  +- 8.7 ,87.0  +- 10.2 ,80.8  +- 35.3 ,99.5  +- 1.2 ,22.9  +- 15.9 ,97.1  +- 5.1 ,11708 +- 12778,4353 +- 5423
resc_tl_CNN_100_raw,56550.7  +- 40333.6 ,90.2  +- 6.3 ,86.9  +- 7.3 ,81.1  +- 15.8 ,75.9  +- 15.5 ,81682.9  +- 24202.0 ,84.3  +- 15.4 ,77.2  +- 18.3 ,95.6  +- 8.9 ,65.9  +- 21.2 ,78.3  +- 13.5 ,57.0  +- 26.8 ,77.9  +- 13.8 ,59.2  +- 39.5 ,33.8  +- 10.0 ,56.1  +- 41.1 ,33.8  +- 10.0 ,87.9  +- 9.5 ,87.1  +- 10.2 ,77.7  +- 36.7 ,99.3  +- 1.5 ,23.7  +- 17.1 ,96.6  +- 5.5 ,12019 +- 13411,4259 +- 4869
tl_resc_CNN_100_raw,72900.3  +- 43649.1 ,87.2  +- 8.2 ,84.0  +- 8.5 ,83.1  +- 15.1 ,68.1  +- 15.2 ,98598.3  +- 25701.8 ,91.2  +- 11.6 ,86.8  +- 14.9 ,96.7  +- 6.3 ,76.2  +- 20.0 ,76.7  +- 12.6 ,65.7  +- 27.4 ,88.1  +- 10.1 ,65.8  +- 37.9 ,40.8  +- 10.5 ,66.8  +- 40.7 ,40.8  +- 10.5 ,80.8  +- 11.8 ,87.7  +- 10.6 ,72.1  +- 36.7 ,94.7  +- 8.3 ,30.6  +- 18.4 ,92.6  +- 9.9 ,11052 +- 13477,4471 +- 5217
CNN_100_raw_max,290.6  +- 5537.3 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.5 ,0.2  +- 4.5 ,290.6  +- 5537.3 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.1 ,0.3  +- 4.9 ,0.3  +- 5.1 ,0.3  +- 5.1 ,0.3  +- 5.0 ,0.1  +- 2.4 ,0.3  +- 5.2 ,0.1  +- 2.4 ,100.0  +- 0.5 ,76.1  +- 6.8 ,0.3  +- 4.8 ,0.3  +- 5.2 ,0.1  +- 2.4 ,100.0  +- 0.3 ,33727 +- 6787,12683 +- 6236
tl_CNN_100_raw_max,403.3  +- 7684.0 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.0 ,403.3  +- 7684.0 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 4.9 ,0.2  +- 4.5 ,0.3  +- 5.1 ,0.3  +- 4.9 ,0.2  +- 4.7 ,0.1  +- 2.7 ,0.3  +- 5.2 ,0.1  +- 2.7 ,99.9  +- 1.1 ,76.1  +- 6.7 ,0.2  +- 4.2 ,0.3  +- 5.2 ,0.1  +- 2.7 ,100.0  +- 0.9 ,33719 +- 6820,12687 +- 6193
resc_tl_CNN_100_raw_max,392.3  +- 7474.1 ,82.3  +- 5.3 ,70.3  +- 7.4 ,61.9  +- 8.4 ,0.2  +- 4.1 ,392.3  +- 7474.1 ,0.3  +- 5.1 ,0.3  +- 5.1 ,0.3  +- 5.3 ,0.3  +- 4.8 ,0.2  +- 4.5 ,0.3  +- 5.0 ,0.3  +- 4.8 ,0.2  +- 4.7 ,0.1  +- 2.7 ,0.3  +- 5.1 ,0.1  +- 2.7 ,99.9  +- 1.0 ,76.1  +- 6.7 ,0.2  +- 4.3 ,0.3  +- 5.2 ,0.1  +- 2.7 ,100.0  +- 0.9 ,33720 +- 6814,12685 +- 6194
gt,75173.8  +- 26998.2 ,100.0  +- 0.0 ,100.0  +- 0.0 ,93.1  +- 11.3 ,100.0  +- 0.0 ,71507.4  +- 15507.2 ,100.0  +- 0.0 ,78.5  +- 13.1 ,85.5  +- 9.7 ,59.7  +- 21.7 ,100.0  +- 0.0 ,53.3  +- 25.3 ,69.6  +- 15.7 ,87.3  +- 23.4 ,29.8  +- 7.3 ,83.0  +- 26.9 ,29.8  +- 7.3 ,100.0  +- 0.0 ,95.0  +- 7.8 ,99.9  +- 0.1 ,97.9  +- 4.2 ,31.3  +- 11.8 ,100.0  +- 0.0 ,3779 +- 7921,1258 +- 2327
always1,233697.0  +- 28511.7 ,0.0  +- 0.0 ,29.8  +- 7.3 ,42.2  +- 8.5 ,29.8  +- 7.3 ,243497.0  +- 28511.7 ,100.0  +- 0.0 ,100.1  +- 0.0 ,100.0  +- 0.0 ,100.1  +- 0.0 ,45.4  +- 8.6 ,100.1  +- 0.0 ,100.0  +- 0.0 ,56.4  +- 8.8 ,100.0  +- 0.0 ,99.9  +- 1.0 ,100.0  +- 0.0 ,0.0  +- 0.0 ,12.7  +- 4.2 ,39.8  +- 8.8 ,62.4  +- 11.0 ,95.9  +- 0.7 ,6.8  +- 3.3 ,30693 +- 6859,12717 +- 6201
always0,0.0  +- 0.0 ,82.3  +- 5.3 ,70.2  +- 7.3 ,61.8  +- 8.3 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,100.0  +- 0.0 ,76.1  +- 6.7 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,100.0  +- 0.0 ,33799 +- 6593,12717 +- 6201
binterval,82108.5  +- 38159.6 ,88.5  +- 7.5 ,85.7  +- 8.5 ,87.3  +- 13.9 ,69.2  +- 16.4 ,99601.7  +- 25064.2 ,94.8  +- 14.1 ,90.6  +- 16.9 ,97.6  +- 9.2 ,82.5  +- 20.7 ,78.8  +- 14.6 ,69.3  +- 30.7 ,100.0  +- 0.0 ,75.8  +- 33.5 ,41.3  +- 10.6 ,78.0  +- 36.1 ,41.3  +- 10.6 ,81.7  +- 11.2 ,90.6  +- 9.6 ,78.5  +- 30.8 ,97.2  +- 8.0 ,34.3  +- 16.3 ,93.0  +- 8.5 ,7541 +- 11857,3722 +- 4634
wake,69282.1  +- 54878.8 ,37.3  +- 12.8 ,25.0  +- 9.8 ,52.9  +- 13.5 ,3.5  +- 3.4 ,118712.7  +- 29099.0 ,5.7  +- 5.6 ,11.4  +- 7.6 ,51.3  +- 17.8 ,20.3  +- 14.5 ,4.1  +- 3.8 ,28.6  +- 22.3 ,9.2  +- 4.8 ,24.3  +- 23.0 ,48.5  +- 9.8 ,25.7  +- 30.3 ,48.6  +- 9.8 ,33.0  +- 13.0 ,62.2  +- 18.0 ,28.8  +- 25.0 ,64.1  +- 18.7 ,28.4  +- 22.1 ,69.7  +- 23.0 ,23397 +- 8123,12022 +- 6668
sleep,131753.7  +- 46452.8 ,78.4  +- 10.0 ,75.1  +- 9.8 ,79.1  +- 15.0 ,55.8  +- 14.0 ,124454.0  +- 26303.1 ,94.3  +- 5.6 ,88.7  +- 7.6 ,78.8  +- 10.9 ,79.8  +- 14.5 ,69.0  +- 11.8 ,71.5  +- 22.3 ,90.8  +- 4.8 ,76.1  +- 21.2 ,51.4  +- 9.9 ,93.9  +- 21.7 ,51.4  +- 9.9 ,67.1  +- 13.0 ,78.4  +- 19.1 ,66.3  +- 22.6 ,88.3  +- 9.9 ,54.5  +- 18.4 ,70.3  +- 23.0 ,9254 +- 10890,7420 +- 6127
